,HD Number,Star Name
Aries,,
1,,
41-a-b-g,,
4,,
41,17573,
a,12929,Hamal
b,11636,Sheratan
g,11502,Mesarthim
,,
Taurus,,
2,,
z-a-q-g-d-e-b,,
g-l,,
8,,
z,37202,
a,29139,Aldebaran
q,28319,
g,27371,Hyadum I
d,27697,Hyadum II
e,28305,Ain
b,35497,Alnath
l,25204,
,,
Gemini,,
1,,
x-g-z-d-b-a-e-m-n,,
9,,
x,48737,Al Zirr
g,47105,Alhena
z,52973,Mekbuda
d,56986,Wasat
b,62509,Pollux
a,60179,Castor
e,48329,Mebsuta
m,44478,Tejat
n,45542,
,,
Cancer,,
2,,
i-g-d-a,,
d-b,,
5,,
i,74739,
g,74198,Asellus Borealis
d,74442,Asellus Australis
a,76756,Acubens
b,69267,Al Tarf
,,
Leo,,
1,,
e-m-z-g-h-a-q-b-d-g,,
9,,
e,84441,Algenubi
m,85503,Rasalas
z,89025,Adhafera
g,89484,Algieba
h,87737,Al Jabhah
a,87901,Regulus
q,97633,Chertan (Chort)
b,102647,Denebola
d,97603,Zosma
,,
Virgo,,
4,,
109-t-z-a-k-i-m,,
z-d-e,,
a-q-g-d,,
g-h-b,,
13,,
109,130109,
t,122408,
z,118098,Heze
a,116658,Spica
k,124294,Kang
i,124850,Syrma
m,129502,Rijl al Awwa
d,112300,Auva
e,113226,Vindemiatrix
q,114330,
g,110379,Porrima
h,107259,Zaniah
b,102870,Zavijava
,,
Libra,,
2,,
q-h-g-b-a-s-u-t,,
b-s,,
7,,
q,142198,
h,140417,
g,138905,Zubenelhakrabi
b,135742,Zubeneschamali
a,130841,Zubenelgenubi
s,133216,
u,139063,
,,
Scorpius,,
2,,
u-l-k-i-q-h-z-m-e-t-a-s-d-b-n,,
d-p-r,,
17,,
u,158408,Lesath
l,158926,Shaula
k,160578,Girtab
i,161471,Apollyon
q,159532,Sargas
h,155203,
z,152334,
m,151890,Xamidimura
e,151680,Wei
t,149438,Alniyat
a,148478,Antares
s,147165,Alniyat
d,143275,Dschubba
b,144217,Acrab
n,145502,Jabbah
p,143018,Vrischika
r,142669,Iklil
,,
Sagittarius,,
3,,
t-s-f-z-t,,
f-l-d-e-z,,
d-g-e,,
8,,
t,177716,Rabi al Sadira
s,175191,Nunki
f,173300,Awal al Sadira
z,176687,Ascella
l,169916,Kaus Borealis
d,168454,Kaus Media
e,169022,Kaus Australis
g,165135,Alnasl
,,
Capricornus,,
1,,
b-y-w-z-e-d-g-i-q-b,,
9,,
b,193495,Dabih
y,197692,Yue
w,198542,
z,204075,Yan
e,205637,Castra
d,207098,Deneb Algiedi
g,206088,Nashira
i,203387,Dai
q,200761,Qin
,,
Aquarius,,
2,,
e-m-b-a-q-i,,
a-g-z-h-f-l-t-d,,
13,,
e,198001,Albali
m,198743,Albulaan
b,204867,Sadalsuud
a,209750,Sadalmelik
q,211391,Ancha
i,209819,
g,212061,Sadachibia
z,213051,Sadaltager
h,213998,
f,219215,
l,216386,Hydor
t,216032,
d,216627,Skat
,,
Pisces,,
1,,
t-u-f-h-o-a-n-m-e-d-w-i-q-g-k-l-i,,
16,,
t,7106,Anunitum
u,7964,
f,7318,
h,9270,Alpherg
o,10761,Torcular
a,12446,Alrescha
n,10380,Kullat Nunu
m,9138,
e,6186,Kaht
d,4656,Linteum
w,224617,Dzaneb al Samkat
i,222368,
q,220954,
g,219615,Simmah
k,220825,
l,222603,
,,
Ursa Minor,,
1,,
a-d-e-z-b-g-h-z,,
7,,
a,8890,Polaris
d,166205,Yildun
e,153751,Urodelus
z,142105,Ahfa al Farkadain
b,131873,Kochab
g,137422,Pherkad
h,148048,Anwar al Farkadain
,,
Ursa Major,,
1,,
h-z-e-d-g-b-a-d,,
7,,
h,120315,Alkaid
z,116656,Mizar
e,112185,Alioth
d,106591,Megrez
g,103287,Phad
b,95418,Merak
a,95689,Dubhe
,,
Draco,,
1,,
l-k-a-i-q-h-z-y-c-t-e-d-x-n-b-g-x,,
16,,
l,100029,Giausar
k,109387,Shǎowèi
a,123299,Thuban
i,137759,Edasich
q,144284,Shǎngzǎi
h,148387,Aldibain
z,155763,Aldhibah
y,162003,Dziban
c,170153,
t,181984,
e,188119,Tyl
d,180711,Altais
x,163588,Grumium
n,159560,Kuma
b,159181,Restaban
g,164058,Etamin
,,
Cepheus,,
1,,
a-b-g-i-z-a,,
5,,
a,203280,Alderamin
b,205021,Alfirk
g,222404,Arrai
i,216228,
z,210745,
,,
Cassiopeia,,
1,,
b-a-g-d-e,,
5,,
b,432,Caph
a,3712,Shedir
g,5394,Tsih
d,8538,Ruchbah
e,11415,Segin
,,
Andromeda,,
1,,
51-m-p-a-d-b-g,,
7,,
51,9927,Nembus
m,5448,
p,3369,
a,358,Alpheratz
d,3627,
b,6860,Mirach
g,12533,Almach
,,
Auriga,,
1,,
Taurus b-q-b-a-e-h-i-Taurus b,,
7,,
Taurus b,35497,Alnath
q,40312,Mahasim
b,40183,Menkalinan
a,34029,Capella
e,31964,Almaaz
h,32630,Haedus II
i,31398,Kabdhilinan
,,
Bootes,,
1,,
u-t-h-a-r-g-b-d-e-a,,
9,,
u,120477,
t,120136,
h,121370,Muphrid
a,124897,Arcturus
r,127665,Hemelein Prima
g,127762,Seginus
b,133208,Nekkar
d,135722,Princeps
e,129988,Izar
,,
Centaurus,,
4,,
a-e-b,,
e-z-m-n-h-k,,
q-n-D-i,,
e-g-s-d-r-p-o,,
16,,
a,128620,Rigel Kentaurus
e,118716,
b,122451,Hadar
z,121263,Alnair
m,120324,
n,120307,
h,127972,
k,132200,
q,123139,Menkent
D,117440,
i,115892,
g,110304,Muhlifain
d,105435,
r,105937,
p,98718,
o,100261,
,,
Cygnus,,
2,,
a-g-h-b,,
e-g-d,,
6,,
a,197345,Deneb
g,194093,Sadr
h,188947,
b,183912,Albireo
e,197989,Gienah
d,186882,
,,
Hercules,,
5,,
a-b-g,,
b-z-e-d-l-m-x-o,,
e-p-r-q-i,,
p-h-s-t-f,,
h-z,,
18,,
a,156014,Rasalgethi
b,148856,Kornephoros
g,147547,Hejian
z,150680,
e,153808,Cujam
d,156164,Sarin
l,158899,Maasym
m,161797,Marfak Al Jathih Al Aisr
x,163993,
o,166014,Fekhiz al Jathih al Aisr
p,156283,
r,157778,
q,163770,Rukbalgethi Genubi
i,160762,
h,150997,
s,149630,
t,147394,Rukbalgethi Shemali
f,145389,
,,
Hydra,,
1,,
p-g-b-x-n-m-l-u-a-i-q-z-e-d-s-h-z,,
15,,
p,123123,
g,115659,
b,103192,
x,100407,
n,93813,
m,90432,
l,88284,
u,85444,Zhang
a,81797,Alphard
i,83618,Ukdah
q,79469,
z,76294,
e,74874,
d,73262,Lisan al Shudja
s,73471,Minhar al Shija
h,74280,
,,
Lyra,,
1,,
a-z-d-g-b-z,,
5,,
a,172167,Vega
z,173648,
d,175588,
g,176437,Sulafat
b,174638,Sheliak
,,
Orion,,
3,,
c2-x-m-a-l-g-d-b-k-z-a,,
g-p3,,
p1-p2-p3-p4-p5-p6,,
16,,
c2,41117,
x,42560,
m,40932,
a,39801,Betelgeuse
l,36861,Meissa
g,35468,Bellatrix
d,36486,Mintaka
b,34085,Rigel
k,38771,Saiph
z,37742,Alnitak
p1,31295,
p2,30739,
p3,30652,Tabit
p4,30836,
p5,31237,
p6,31767,
,,
Pegasus,,
1,,
And a–b-a-g-And a,,
4,,
And a,358,Alpheratz
b,217906,Scheat
a,218045,Markab
g,886,Algenib
,,
Perseus,,
2,,
f-h-g-a-d-e-x-z-o,,
a-k-b-r,,
12,,
f,10516,Seif
h,17506,Miram
g,18925,
a,20902,Mirphak
d,22928,
e,24760,
x,24912,Menkib
z,24398,Atik
o,23180,Atik
k,19476,Misam
b,19356,Algol
r,19058,Gogonea Tertia
,,
Triangulum,,
1,,
a-b-g,,
3,,
a,11443,Mothallah
b,13161,Beltotum
g,14055,
